"","Acrobeles_emmatus_MB04","Acrobeles_emmatus_MB05","Acrobeles_emmatus_MB06","Acrobeles_emmatus_MB07","Acrobeles_emmatus_MB20","Acrobeles_emmatus_MB36","Acrobeles_mariannae_MB02","Acrobeles_mariannae_MB11","Acrobeles_mariannae_MB12","Acrobeles_mariannae_MB19","Acrobeles_mariannae_MB35","Acrobeles_mariannae_MB37","Acrobeles_sp._MB22","Acrobeles_sp_MB10","Acrobeles_sp_MB33","Acrobeloides_sp_MB26","Acrobeloides_sp_MB39","Acrobeloides_sp_MB40","Cervidellus_sp_MB03","Cervidellus_sp_MB24","Mesorhabditis_sp_MB16","Mesorhabditis_sp_MB17","Mesorhabditis_sp_MB18","Mesorhabditis_sp_MB27","Mesorhabditis_sp_MB28","PC_sample_A_PC1","PC_sample_E_PC4","PC_sample_F_PC5","PC_sample_G_PC3","PC_sample_M_PC2","Stegelleta_sp_MB01","Stegelleta_sp_MB14","Stegelleta_sp_MB15","Stegelleta_sp_MB31","Stegelleta_sp_MB32","Stegelleta_sp_MB38","Stegelletina_sp_MB09","Stegelletina_sp_MB13","Stegelletina_sp_MB21","Stegelletina_sp_MB29","Stegelletina_sp_MB30","Stegelletina_sp_MB34","total","superkingdom","kingdom","phylum","class","order","family","genus","tax"
"Abditibacterium utsteinense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,"Bacteria","Pseudomonadati","Abditibacteriota","Abditibacteriia","Abditibacteriales","Abditibacteriaceae","Abditibacterium","Bacteria;Pseudomonadati;Abditibacteriota;Abditibacteriia;Abditibacteriales;Abditibacteriaceae;Abditibacterium;Abditibacterium utsteinense"
"Abyssicoccus albus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4361,"Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Abyssicoccaceae","Abyssicoccus","Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Abyssicoccaceae;Abyssicoccus;Abyssicoccus albus"
"Gluconacetobacter dulcium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,106,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconacetobacter","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Gluconacetobacter;Gluconacetobacter dulcium"
"Paeniroseomonas aquatica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,69,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Paeniroseomonas","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Paeniroseomonas;Paeniroseomonas aquatica"
"Sulfuricaulis limicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Sulfuricaulis","Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Sulfuricaulis;Sulfuricaulis limicola"
"Alloacidobacterium dinghuense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Alloacidobacterium","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Alloacidobacterium;Alloacidobacterium dinghuense"
"Bryocella elongata",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Bryocella","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Bryocella;Bryocella elongata"
"Edaphobacter aggregans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Edaphobacter","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Edaphobacter;Edaphobacter aggregans"
"Edaphobacter dinghuensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Edaphobacter","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Edaphobacter;Edaphobacter dinghuensis"
"Edaphobacter flagellatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Edaphobacter","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Edaphobacter;Edaphobacter flagellatus"
"Edaphobacter lichenicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Edaphobacter","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Edaphobacter;Edaphobacter lichenicola"
"Edaphobacter modestus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3265,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Edaphobacter","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Edaphobacter;Edaphobacter modestus"
"Granulicella mallensis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Granulicella","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella;Granulicella mallensis"
"Occallatibacter riparius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Occallatibacter","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Occallatibacter;Occallatibacter riparius"
"Occallatibacter savannae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Occallatibacter","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Occallatibacter;Occallatibacter savannae"
"Pseudacidobacterium ailaaui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Pseudacidobacterium","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Pseudacidobacterium;Pseudacidobacterium ailaaui"
"Terracidiphilus gabretensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Terracidiphilus","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terracidiphilus;Terracidiphilus gabretensis"
"Terriglobus albidus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Terriglobus","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terriglobus;Terriglobus albidus"
"Terriglobus aquaticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21922,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Terriglobus","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terriglobus;Terriglobus aquaticus"
"Terriglobus roseus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,190,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Terriglobus","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terriglobus;Terriglobus roseus"
"Terriglobus saanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Terriglobus","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terriglobus;Terriglobus saanensis"
"Acidothermus cellulolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"Bacteria","Bacillati","Actinomycetota","Actinomycetes","Acidothermales","Acidothermaceae","Acidothermus","Bacteria;Bacillati;Actinomycetota;Actinomycetes;Acidothermales;Acidothermaceae;Acidothermus;Acidothermus cellulolyticus"
"Actinomyces naeslundii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,"Bacteria","Bacillati","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces naeslundii"
"Actinomyces oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,"Bacteria","Bacillati","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oris"
"Varibaculum cambriense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1690,"Bacteria","Bacillati","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Varibaculum","Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Varibaculum;Varibaculum cambriense"
"Abiotrophia defectiva",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550,"Bacteria","Bacillati","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia","Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva"
"Aerococcus urinaeequi",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,"Bacteria","Bacillati","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus urinaeequi"
"Aerococcus viridans",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6540,"Bacteria","Bacillati","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus viridans"
"Facklamia hominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30229,"Bacteria","Bacillati","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Facklamia","Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Facklamia;Facklamia hominis"
"Facklamia languida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,"Bacteria","Bacillati","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Facklamia","Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Facklamia;Facklamia languida"
"Aestuariivirga litoralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aestuariivirgaceae","Aestuariivirga","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Aestuariivirgaceae;Aestuariivirga;Aestuariivirga litoralis"
"Afifella pfennigii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Afifellaceae","Afifella","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Afifellaceae;Afifella;Afifella pfennigii"
"Bordetella bronchialis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella bronchialis"
"Bordetella flabilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella flabilis"
"Derxia gummosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1104,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Derxia","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Derxia;Derxia gummosa"
"Orrella dioscoreae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Orrella","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Orrella;Orrella dioscoreae"
"Pigmentiphaga aceris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Pigmentiphaga","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Pigmentiphaga;Pigmentiphaga aceris"
"Aliterella chasmolithica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Chroococcidiopsidales","Aliterellaceae","Aliterella","Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Chroococcidiopsidales;Aliterellaceae;Aliterella;Aliterella chasmolithica"
"Aliterella gigantea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Chroococcidiopsidales","Aliterellaceae","Aliterella","Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Chroococcidiopsidales;Aliterellaceae;Aliterella;Aliterella gigantea"
"Aquaspirillum polymorphum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Neisseriales","Aquaspirillaceae","Aquaspirillum","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Aquaspirillaceae;Aquaspirillum;Aquaspirillum polymorphum"
"Archangium gephyra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,552,"Bacteria","Pseudomonadati","Myxococcota","Myxococcia","Myxococcales","Archangiaceae","Archangium","Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Archangium;Archangium gephyra"
"Archangium minus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"Bacteria","Pseudomonadati","Myxococcota","Myxococcia","Myxococcales","Archangiaceae","Archangium","Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Archangium;Archangium minus"
"Cystobacter badius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"Bacteria","Pseudomonadati","Myxococcota","Myxococcia","Myxococcales","Archangiaceae","Cystobacter","Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Cystobacter;Cystobacter badius"
"Cystobacter ferrugineus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,"Bacteria","Pseudomonadati","Myxococcota","Myxococcia","Myxococcales","Archangiaceae","Cystobacter","Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Cystobacter;Cystobacter ferrugineus"
"Hyalangium gracile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,495,"Bacteria","Pseudomonadati","Myxococcota","Myxococcia","Myxococcales","Archangiaceae","Hyalangium","Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Hyalangium;Hyalangium gracile"
"Hyalangium minutum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,507,"Bacteria","Pseudomonadati","Myxococcota","Myxococcia","Myxococcales","Archangiaceae","Hyalangium","Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Hyalangium;Hyalangium minutum"
"Melittangium lichenicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"Bacteria","Pseudomonadati","Myxococcota","Myxococcia","Myxococcales","Archangiaceae","Melittangium","Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Melittangium;Melittangium lichenicola"
"Stigmatella erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,137,"Bacteria","Pseudomonadati","Myxococcota","Myxococcia","Myxococcales","Archangiaceae","Stigmatella","Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Stigmatella;Stigmatella erecta"
"Vitiosangium cumulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,"Bacteria","Pseudomonadati","Myxococcota","Myxococcia","Myxococcales","Archangiaceae","Vitiosangium","Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Vitiosangium;Vitiosangium cumulatum"
"Vitiosangium subalbum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2744,"Bacteria","Pseudomonadati","Myxococcota","Myxococcia","Myxococcales","Archangiaceae","Vitiosangium","Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Vitiosangium;Vitiosangium subalbum"
"Arenimicrobium luteum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2964,"Bacteria","Pseudomonadati","Acidobacteriota","Blastocatellia","Blastocatellales","Arenimicrobiaceae","Arenimicrobium","Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales;Arenimicrobiaceae;Arenimicrobium;Arenimicrobium luteum"
"Brevitalea aridisoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,"Bacteria","Pseudomonadati","Acidobacteriota","Blastocatellia","Blastocatellales","Arenimicrobiaceae","Brevitalea","Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales;Arenimicrobiaceae;Brevitalea;Brevitalea aridisoli"
"Dechloromonas agitata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,253,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Rhodocyclales","Azonexaceae","Dechloromonas","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas;Dechloromonas agitata"
"Dechloromonas hortensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Rhodocyclales","Azonexaceae","Dechloromonas","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas;Dechloromonas hortensis"
"Skermanella aerolata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1375,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Skermanella","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Skermanella;Skermanella aerolata"
"Skermanella mucosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,102,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Skermanella","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Skermanella;Skermanella mucosa"
"Skermanella pratensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Skermanella","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Skermanella;Skermanella pratensis"
"Bacillus aerius",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,"Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus aerius"
"Bacillus aerophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,"Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus aerophilus"
"Bacillus altitudinis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8794,"Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus altitudinis"
