size.class,nematode1,nematode2,p_value,signif
2,Stegelleta,Stegelleta,NA,
2,Stegelletina,Stegelleta,1,
3,A. mariannae,A. emmatus,0.555497079,
3,Acrobeles sp.,A. emmatus,0.268948071,
3,Acrobeloides,A. emmatus,1,
3,Cervidellus,A. emmatus,0.905468999,
3,Mesorhabditis,A. emmatus,0.799310852,
3,PC,A. emmatus,0.069173706,
3,Stegelleta,A. emmatus,0.905468999,
3,Stegelletina,A. emmatus,0.61615768,
3,A. mariannae,A. mariannae,NA,
3,Acrobeles sp.,A. mariannae,0.50005476,
3,Acrobeloides,A. mariannae,0.799310852,
3,Cervidellus,A. mariannae,1,
3,Mesorhabditis,A. mariannae,1,
3,PC,A. mariannae,0.069173706,
3,Stegelleta,A. mariannae,0.905468999,
3,Stegelletina,A. mariannae,0.150550419,
3,A. mariannae,Acrobeles sp.,NA,
3,Acrobeles sp.,Acrobeles sp.,NA,
3,Acrobeloides,Acrobeles sp.,0.50005476,
3,Cervidellus,Acrobeles sp.,0.61615768,
3,Mesorhabditis,Acrobeles sp.,0.905468999,
3,PC,Acrobeles sp.,0.268948071,
3,Stegelleta,Acrobeles sp.,0.268948071,
3,Stegelletina,Acrobeles sp.,0.242678063,
3,A. mariannae,Acrobeloides,NA,
3,Acrobeles sp.,Acrobeloides,NA,
3,Acrobeloides,Acrobeloides,NA,
3,Cervidellus,Acrobeloides,1,
3,Mesorhabditis,Acrobeloides,0.905468999,
3,PC,Acrobeloides,0.183960423,
3,Stegelleta,Acrobeloides,1,
3,Stegelletina,Acrobeloides,0.799310852,
3,A. mariannae,Cervidellus,NA,
3,Acrobeles sp.,Cervidellus,NA,
3,Acrobeloides,Cervidellus,NA,
3,Cervidellus,Cervidellus,NA,
3,Mesorhabditis,Cervidellus,1,
3,PC,Cervidellus,0.268948071,
3,Stegelleta,Cervidellus,1,
3,Stegelletina,Cervidellus,0.390458617,
3,A. mariannae,Mesorhabditis,NA,
3,Acrobeles sp.,Mesorhabditis,NA,
3,Acrobeloides,Mesorhabditis,NA,
3,Cervidellus,Mesorhabditis,NA,
3,Mesorhabditis,Mesorhabditis,NA,
3,PC,Mesorhabditis,0.14004744,
3,Stegelleta,Mesorhabditis,0.905468999,
3,Stegelletina,Mesorhabditis,0.50005476,
3,A. mariannae,PC,NA,
3,Acrobeles sp.,PC,NA,
3,Acrobeloides,PC,NA,
3,Cervidellus,PC,NA,
3,Mesorhabditis,PC,NA,
3,PC,PC,NA,
3,Stegelleta,PC,0.069173706,
3,Stegelletina,PC,0.069173706,
3,A. mariannae,Stegelleta,NA,
3,Acrobeles sp.,Stegelleta,NA,
3,Acrobeloides,Stegelleta,NA,
3,Cervidellus,Stegelleta,NA,
3,Mesorhabditis,Stegelleta,NA,
3,PC,Stegelleta,NA,
3,Stegelleta,Stegelleta,NA,
3,Stegelletina,Stegelleta,0.390458617,
4,A. mariannae,A. emmatus,0.747102463,
4,Acrobeles sp.,A. emmatus,0.730725932,
4,Acrobeloides,A. emmatus,0.548078253,
4,Cervidellus,A. emmatus,0.684292503,
4,Mesorhabditis,A. emmatus,0.156975827,
4,PC,A. emmatus,0.067252215,
4,Stegelleta,A. emmatus,0.409807731,
4,Stegelletina,A. emmatus,0.747102463,
4,A. mariannae,A. mariannae,NA,
4,Acrobeles sp.,A. mariannae,0.782031966,
4,Acrobeloides,A. mariannae,0.409807731,
4,Cervidellus,A. mariannae,0.544583808,
4,Mesorhabditis,A. mariannae,0.174830355,
4,PC,A. mariannae,0.067252215,
4,Stegelleta,A. mariannae,0.544583808,
4,Stegelletina,A. mariannae,1,
4,A. mariannae,Acrobeles sp.,NA,
4,Acrobeles sp.,Acrobeles sp.,NA,
4,Acrobeloides,Acrobeles sp.,0.57990265,
4,Cervidellus,Acrobeles sp.,0.747102463,
4,Mesorhabditis,Acrobeles sp.,0.86369128,
4,PC,Acrobeles sp.,0.229375115,
4,Stegelleta,Acrobeles sp.,1,
4,Stegelletina,Acrobeles sp.,0.782031966,
4,A. mariannae,Acrobeloides,NA,
4,Acrobeles sp.,Acrobeloides,NA,
4,Acrobeloides,Acrobeloides,NA,
4,Cervidellus,Acrobeloides,NA,
4,Mesorhabditis,Acrobeloides,0.174830355,
4,PC,Acrobeloides,0.156975827,
4,Stegelleta,Acrobeloides,0.294854088,
4,Stegelletina,Acrobeloides,0.409807731,
4,A. mariannae,Cervidellus,NA,
4,Acrobeles sp.,Cervidellus,NA,
4,Acrobeloides,Cervidellus,NA,
4,Cervidellus,Cervidellus,NA,
4,Mesorhabditis,Cervidellus,0.256320359,
4,PC,Cervidellus,0.229375115,
4,Stegelleta,Cervidellus,0.409807731,
4,Stegelletina,Cervidellus,0.544583808,
4,A. mariannae,Mesorhabditis,NA,
4,Acrobeles sp.,Mesorhabditis,NA,
4,Acrobeloides,Mesorhabditis,NA,
4,Cervidellus,Mesorhabditis,NA,
4,Mesorhabditis,Mesorhabditis,NA,
4,PC,Mesorhabditis,0.132600259,
4,Stegelleta,Mesorhabditis,0.548078253,
4,Stegelletina,Mesorhabditis,0.174830355,
4,A. mariannae,PC,NA,
4,Acrobeles sp.,PC,NA,
4,Acrobeloides,PC,NA,
4,Cervidellus,PC,NA,
4,Mesorhabditis,PC,NA,
4,PC,PC,NA,
4,Stegelleta,PC,0.067252215,
4,Stegelletina,PC,0.067252215,
4,A. mariannae,Stegelleta,NA,
4,Acrobeles sp.,Stegelleta,NA,
4,Acrobeloides,Stegelleta,NA,
4,Cervidellus,Stegelleta,NA,
4,Mesorhabditis,Stegelleta,NA,
4,PC,Stegelleta,NA,
4,Stegelleta,Stegelleta,NA,
4,Stegelletina,Stegelleta,0.544583808,
5,A. mariannae,A. emmatus,1,
5,Acrobeles sp.,A. emmatus,0.605550783,
5,Acrobeloides,A. emmatus,1,
5,Cervidellus,A. emmatus,0.605550783,
5,Mesorhabditis,A. emmatus,1,
5,PC,A. emmatus,0.067252215,
5,Stegelleta,A. emmatus,1,
5,Stegelletina,A. emmatus,0.875742722,
5,A. mariannae,A. mariannae,NA,
5,Acrobeles sp.,A. mariannae,0.660581786,
5,Acrobeloides,A. mariannae,1,
5,Cervidellus,A. mariannae,0.660581786,
5,Mesorhabditis,A. mariannae,1,
