"","shape","cell.width","cell.length","ratio","size.class","Acrobeles_emmatus_MB04","Acrobeles_emmatus_MB05","Acrobeles_emmatus_MB06","Acrobeles_emmatus_MB07","Acrobeles_emmatus_MB20","Acrobeles_emmatus_MB36","Acrobeles_mariannae_MB02","Acrobeles_mariannae_MB11","Acrobeles_mariannae_MB12","Acrobeles_mariannae_MB19","Acrobeles_mariannae_MB35","Acrobeles_mariannae_MB37","Acrobeles_sp_MB10","Acrobeles_sp_MB33","Acrobeloides_sp_MB26","Acrobeloides_sp_MB39","Acrobeloides_sp_MB40","Cervidellus_sp_MB03","Cervidellus_sp_MB24","Mesorhabditis_sp_MB16","Mesorhabditis_sp_MB17","Mesorhabditis_sp_MB27","Mesorhabditis_sp_MB28","PC_sample_A_PC1","PC_sample_E_PC4","PC_sample_F_PC5","PC_sample_G_PC3","PC_sample_M_PC2","Stegelleta_sp_MB01","Stegelleta_sp_MB14","Stegelleta_sp_MB15","Stegelleta_sp_MB31","Stegelleta_sp_MB32","Stegelleta_sp_MB38","Stegelletina_sp_MB09","Stegelletina_sp_MB13","Stegelletina_sp_MB21","Stegelletina_sp_MB29","Stegelletina_sp_MB30","Stegelletina_sp_MB34","total","superkingdom","kingdom","phylum","class","order","family","genus","tax"
"Paenibacillus qinlingensis","rod",0.9,2.5,2.777777778,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus qinlingensis"
"Rhodoplanes tepidicaeni","rod",0.9,2.5,2.777777778,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes tepidicaeni"
"Caenimonas koreensis","rod",0.5,1.4,2.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Caenimonas","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Caenimonas;Caenimonas koreensis"
"Sphingomonas zeicaulis","rod",0.5,1.4,2.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas zeicaulis"
"Rhodanobacter spathiphylli","rod",0.8,2.25,2.8125,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Rhodanobacter","Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Rhodanobacter;Rhodanobacter spathiphylli"
"Shinella kummerowiae","rod",0.6,1.7,2.833333333,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Shinella","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Shinella;Shinella kummerowiae"
"Asticcacaulis solisilvae","rod",1.85,5.25,2.837837838,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis;Asticcacaulis solisilvae"
"Salinibacterium xinjiangense","rod",0.65,1.85,2.846153846,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"Bacteria","Bacillati","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Salinibacterium","Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Salinibacterium;Salinibacterium xinjiangense"
"Pseudoduganella dura","rod",0.7,2,2.857142857,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,265,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Pseudoduganella;Pseudoduganella dura"
"Sphingobacterium caeni","rod",0.35,1,2.857142857,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,"Bacteria","Pseudomonadati","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;Sphingobacterium caeni"
"Rufibacter quisquiliarum","rod",0.4,1.15,2.875,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Rufibacter","Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Rufibacter;Rufibacter quisquiliarum"
"Dyadobacter flavalbus","rod",0.9,2.6,2.888888889,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Spirosomataceae","Dyadobacter","Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae;Dyadobacter;Dyadobacter flavalbus"
"Massilia agri","rod",0.45,1.3,2.888888889,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,243,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia agri"
"Mucilaginibacter galii","rod",0.83,2.4,2.891566265,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,"Bacteria","Pseudomonadati","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter galii"
"Chelatococcus reniformis","",0.55,1.6,2.909090909,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Chelatococcaceae","Chelatococcus","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Chelatococcaceae;Chelatococcus;Chelatococcus reniformis"
"Occallatibacter savannae","rod",0.6,1.75,2.916666667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Occallatibacter","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Occallatibacter;Occallatibacter savannae"
"Massilia yuzhufengensis","rod",0.85,2.5,2.941176471,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia yuzhufengensis"
"Paenibacillus esterisolvens","rod",0.85,2.5,2.941176471,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus esterisolvens"
"Bacillus amyloliquefaciens","rod",0.8,2.4,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,"Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus amyloliquefaciens"
"Croceibacterium soli","rod",0.4,1.2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Croceibacterium","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Croceibacterium;Croceibacterium soli"
"Adhaeribacter swui","rod",0.75,2.25,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,724,"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter","Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter swui"
"Neobacillus cucumis","rod",1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,"Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Bacillaceae","Neobacillus","Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Neobacillus;Neobacillus cucumis"
"Paenibacillus harenae","rod",1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus harenae"
"Rhodoplanes azumiensis","rod",1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,121,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes azumiensis"
"Terrimonas crocea","rod",0.5,1.5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42,"Bacteria","Pseudomonadati","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Terrimonas","Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas crocea"
"Polaromonas ginsengisoli","rod",0.7,2.1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;Polaromonas ginsengisoli"
"Pedobacter duraquae","rod",0.73,2.2,3.01369863,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"Bacteria","Pseudomonadati","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter duraquae"
"Microvirga aerophila","rod",0.95,2.9,3.052631579,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,244,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga aerophila"
"Devosia humi","rod",0.54,1.65,3.055555556,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia humi"
"Psychrobacillus lasiicapitis","rod",0.65,2,3.076923077,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Bacillaceae","Psychrobacillus","Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Psychrobacillus;Psychrobacillus lasiicapitis"
"Terrimonas terrae","rod",0.65,2,3.076923077,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,178,"Bacteria","Pseudomonadati","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Terrimonas","Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas terrae"
"Compostimonas suwonensis","rod",0.5,1.55,3.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"Bacteria","Bacillati","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Compostimonas","Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Compostimonas;Compostimonas suwonensis"
"Sphingoaurantiacus capsulatus","rod",0.5,1.55,3.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingosinicellaceae","Sphingoaurantiacus","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingosinicellaceae;Sphingoaurantiacus;Sphingoaurantiacus capsulatus"
"Chryseobacterium aquaticum","rod",0.45,1.4,3.111111111,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Chryseobacterium aquaticum"
"Devosia insulae","rod",0.4,1.25,3.125,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,520,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia insulae"
"Exiguobacterium alkaliphilum","rod",0.8,2.5,3.125,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,170,"Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Bacillales_Incertae_sedis","Exiguobacterium","Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillales_Incertae_sedis;Exiguobacterium;Exiguobacterium alkaliphilum"
"Massilia phosphatilytica","rod",0.8,2.5,3.125,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia phosphatilytica"
"Novosphingobium arvoryzae","rod",0.4,1.25,3.125,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Novosphingobium arvoryzae"
"Sphingosinicella humi","rod",0.35,1.1,3.142857143,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,904,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingosinicellaceae","Sphingosinicella","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingosinicellaceae;Sphingosinicella;Sphingosinicella humi"
"Adhaeribacter aerophilus","rod",1,3.15,3.15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,635,"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter","Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter aerophilus"
"Rhodocytophaga rosea","rod",1.05,3.35,3.19047619,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2146,"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Cytophagaceae","Rhodocytophaga","Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Rhodocytophaga;Rhodocytophaga rosea"
"Devosia yakushimensis","rod",0.5,1.6,3.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,177,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia yakushimensis"
"Marisediminicola antarctica","rod",0.25,0.8,3.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"Bacteria","Bacillati","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Marisediminicola","Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Marisediminicola;Marisediminicola antarctica"
"Sphingomonas parva","rod",0.5,1.6,3.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1438,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas parva"
"Chryseobacterium soli","rod",0.7,2.25,3.214285714,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Chryseobacterium soli"
"Rhodopseudomonas telluris","rod",1,3.25,3.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4668,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Rhodopseudomonas","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas telluris"
"Rubellimicrobium aerolatum","rod",0.8,2.6,3.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Rubellimicrobium","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Rubellimicrobium;Rubellimicrobium aerolatum"
"Caulobacter hibisci","rod",0.55,1.8,3.272727273,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Caulobacter hibisci"
"Sphingobium scionense","rod",0.55,1.8,3.272727273,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,40,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium scionense"
"Delftia lacustris","rod",0.7,2.3,3.285714286,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;Delftia lacustris"
"Herbaspirillum chlorophenolicum","rod",0.7,2.3,3.285714286,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,171,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;Herbaspirillum chlorophenolicum"
"Sphingomonas agri","rod",0.35,1.15,3.285714286,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas agri"
"Mucilaginibacter lutimaris","rod",0.5,1.65,3.3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,"Bacteria","Pseudomonadati","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter lutimaris"
"Paracoccus haeundaensis","rod",0.5,1.65,3.3,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,101,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus;Paracoccus haeundaensis"
